customer_key,customer_name,age,age_group,customer_segment,total_sales,total_orders,total_quantity,total_products,last_order,recency,lifespan,avg_order_value,avg_monthly_sales
2,Jon Yang,54,50-64,VIP,8249,3,8,8,2013-05-03,148,28,2749,294
3,Eugene Huang,49,36-49,VIP,6384,3,11,10,2013-12-10,141,35,2128,182
4,Ruben Torres,54,50-64,VIP,8114,3,4,4,2013-02-23,151,25,2704,324
5,Christy Zhu,52,50-64,VIP,8139,3,9,9,2013-05-10,148,29,2713,280
6,Elizabeth Johnson,46,36-49,VIP,8196,3,6,6,2013-05-01,148,28,2732,292
7,Julio Ruiz,49,36-49,VIP,8121,3,6,6,2013-05-02,148,29,2707,280
8,Janet Alvarez,49,36-49,VIP,8119,3,5,5,2013-05-14,148,28,2706,289
9,Marco Mehta,56,50-64,VIP,8211,3,8,8,2013-03-19,150,26,2737,315
10,Rob Verhoff,50,50-64,VIP,8106,3,7,7,2013-03-02,150,26,2702,311
11,Shannon Carlson,56,50-64,VIP,8091,3,5,5,2013-05-09,148,28,2697,288
12,Jacquelyn Suarez,56,50-64,VIP,8088,3,4,4,2013-05-23,148,28,2696,288
13,Curtis Lu,56,50-64,VIP,8133,3,4,4,2013-03-19,150,27,2711,301
14,Lauren Walker,46,36-49,New,81,2,5,5,2013-10-15,143,7,40,11
15,Ian Jenkins,46,36-49,New,114,2,5,5,2014-01-21,140,9,57,12
16,Sydney Bennett,52,50-64,New,138,2,6,5,2013-04-30,149,1,69,138
17,Chloe Young,41,36-49,New,2501,1,3,3,2013-01-18,152,0,2501,2501
18,Wyatt Hill,41,36-49,New,2332,1,3,3,2013-02-09,151,0,2332,2332
19,Shannon Wang,76,65 and Above,VIP,6434,3,4,4,2013-10-14,143,33,2144,194
20,Clarence Rai,70,65 and Above,VIP,6533,3,7,7,2013-10-24,143,33,2177,197
21,Luke Lal,42,36-49,New,880,17,33,20,2014-01-12,140,11,51,80
22,Jordan King,41,36-49,New,2317,1,2,2,2012-12-29,153,0,2317,2317
23,Destiny Wilson,41,36-49,New,2372,1,3,3,2013-01-23,152,0,2372,2372
24,Ethan Zhang,41,36-49,New,2322,1,2,2,2013-01-20,152,0,2322,2322
25,Seth Edwards,41,36-49,New,122,2,6,6,2014-01-14,140,11,61,11
26,Russell Xie,41,36-49,New,56,2,6,5,2013-07-26,146,1,28,56
27,Alejandro Beck,74,65 and Above,VIP,6577,3,6,6,2013-10-25,143,33,2192,199
28,Harold Sai,74,65 and Above,VIP,6575,3,7,7,2013-10-15,143,33,2191,199
29,Jessie Zhao,73,65 and Above,VIP,6591,3,9,9,2013-10-24,143,33,2197,199
30,Jill Jimenez,74,65 and Above,VIP,6474,3,5,5,2013-10-07,143,33,2158,196
31,Jimmy Moreno,73,65 and Above,VIP,6565,3,7,7,2013-11-11,142,34,2188,193
32,Bethany Yuan,67,65 and Above,VIP,6471,3,4,4,2013-11-09,142,33,2157,196
33,Theresa Ramos,72,65 and Above,VIP,6478,3,6,6,2013-11-13,142,33,2159,196
34,Denise Stone,73,65 and Above,VIP,6525,3,10,10,2013-11-08,142,33,2175,197
35,Jaime Nath,67,65 and Above,VIP,6495,3,7,7,2013-11-05,142,33,2165,196
36,Ebony Gonzalez,73,65 and Above,VIP,6491,3,4,4,2013-11-10,142,33,2163,196
37,Wendy Dominguez,72,65 and Above,VIP,6451,3,5,5,2013-11-15,142,33,2150,195
38,Jennifer Russell,41,36-49,New,2355,1,2,2,2013-01-22,152,0,2355,2355
39,Chloe Garcia,42,36-49,New,2374,1,7,7,2013-01-20,152,0,2374,2374
40,Diana Hernandez,72,65 and Above,VIP,6437,3,3,3,2013-11-12,142,33,2145,195
41,Marc Martin,71,65 and Above,VIP,6636,3,9,8,2013-11-11,142,33,2212,201
42,Jesse Murphy,42,36-49,New,2351,1,3,3,2013-04-03,149,0,2351,2351
43,Amanda Carter,42,36-49,New,2381,1,3,3,2013-01-14,152,0,2381,2381
44,Megan Sanchez,43,36-49,New,3112,2,3,3,2013-10-17,143,9,1556,345
45,Nathan Simmons,44,36-49,New,48,2,3,3,2013-08-18,145,3,24,16
46,Adam Flores,71,65 and Above,VIP,6515,3,7,7,2013-11-08,142,33,2171,197
47,Leonard Nara,70,65 and Above,New,115,2,4,4,2013-10-29,143,6,57,19
48,Christine Yuan,70,65 and Above,VIP,6616,3,6,6,2013-11-12,142,33,2205,200
49,Jaclyn Lu,70,65 and Above,VIP,6582,3,4,4,2013-11-19,142,33,2194,199
50,Jeremy Powell,69,65 and Above,VIP,6498,3,8,8,2013-12-25,141,34,2166,191
51,Carol Rai,39,36-49,New,81,2,5,5,2013-10-29,143,7,40,11
52,Alan Zheng,68,65 and Above,VIP,5007,3,6,6,2013-11-19,142,33,1669,151
53,Daniel Johnson,68,65 and Above,New,124,2,5,5,2014-01-01,140,1,62,124
54,Heidi Lopez,68,65 and Above,VIP,8131,3,7,7,2013-05-27,148,27,2710,301
55,Ana Price,39,36-49,New,2330,1,2,2,2013-01-17,152,0,2330,2330
56,Deanna Munoz,68,65 and Above,VIP,8223,3,6,6,2013-05-30,148,27,2741,304
57,Gilbert Raje,68,65 and Above,VIP,8168,3,8,8,2013-06-07,147,29,2722,281
58,Michele Nath,67,65 and Above,VIP,8207,3,8,8,2013-05-31,148,27,2735,303
59,Carl Andersen,55,50-64,VIP,8088,3,4,4,2013-05-21,148,27,2696,299
60,Marc Diaz,60,50-64,VIP,8248,3,6,6,2013-06-04,147,27,2749,305
61,Ashlee Andersen,66,65 and Above,New,117,3,7,6,2013-03-16,150,1,39,117
62,Jon Zhou,66,65 and Above,VIP,8153,3,6,6,2013-06-25,147,27,2717,301
63,Todd Gao,49,36-49,VIP,8129,3,6,6,2013-06-14,147,27,2709,301
64,Noah Powell,44,36-49,New,2352,1,3,3,2013-01-07,152,0,2352,2352
65,Angela Murphy,45,36-49,New,2373,1,5,5,2013-01-12,152,0,2373,2373
66,Chase Reed,44,36-49,New,2305,1,2,2,2013-01-25,152,0,2305,2305
67,Jessica Henderson,46,36-49,New,202,2,5,4,2014-01-10,140,11,101,18
68,Grace Butler,46,36-49,New,81,2,5,5,2013-09-19,144,4,40,20
69,Caleb Carter,43,36-49,New,105,2,6,6,2014-01-12,140,5,52,21
70,Tiffany Liang,59,50-64,New,113,3,9,8,2013-10-08,143,6,37,18
71,Carolyn Navarro,59,50-64,VIP,8104,3,3,3,2013-06-04,147,26,2701,311
72,Willie Raji,65,65 and Above,VIP,8165,3,10,9,2013-06-26,147,26,2721,314
73,Linda Serrano,65,65 and Above,New,110,3,7,6,2013-12-01,141,9,36,12
74,Casey Luo,65,65 and Above,VIP,8194,3,7,7,2013-06-15,147,27,2731,303
75,Amy Ye,63,50-64,New,192,3,10,9,2013-08-21,145,5,64,38
76,Levi Arun,63,50-64,New,94,3,7,7,2013-05-27,148,2,31,47
77,Felicia Jimenez,62,50-64,VIP,8068,3,5,5,2013-06-24,147,26,2689,310
78,Blake Anderson,62,50-64,VIP,8159,3,4,4,2013-06-21,147,26,2719,313
79,Leah Ye,62,50-64,VIP,8169,3,5,5,2013-06-12,147,26,2723,314
80,Gina Martin,40,36-49,New,912,17,31,23,2014-01-28,140,11,53,82
81,Donald Gonzalez,55,50-64,New,58,3,5,5,2014-01-01,140,10,19,5
82,Damien Chander,60,50-64,VIP,8204,3,7,7,2013-06-23,147,26,2734,315
83,Savannah Baker,53,50-64,New,104,2,5,5,2013-04-13,149,2,52,52
84,Angela Butler,53,50-64,New,3110,2,6,6,2013-11-06,142,10,1555,311
